"Name","Team","League","BattingAvg","AtBats","Hits"
"Brandon Allen","Arizona Diamondbacks","National League",0.202,104,21
"Eric Byrnes","Arizona Diamondbacks","National League",0.226,239,54
"Stephen Drew","Arizona Diamondbacks","National League",0.261,533,139
"Felipe Lopez","Arizona Diamondbacks","National League",0.301,345,104
"Miguel Montero","Arizona Diamondbacks","National League",0.294,425,125
"Augie Ojeda","Arizona Diamondbacks","National League",0.246,264,65
"Gerardo Parra","Arizona Diamondbacks","National League",0.29,455,132
"Mark Reynolds","Arizona Diamondbacks","National League",0.26,578,150
"Ryan Roberts","Arizona Diamondbacks","National League",0.279,305,85
"Alex Romero","Arizona Diamondbacks","National League",0.248,145,36
"Chris Snyder","Arizona Diamondbacks","National League",0.2,165,33
"Chad Tracy","Arizona Diamondbacks","National League",0.237,257,61
"Justin Upton","Arizona Diamondbacks","National League",0.3,526,158
"Josh Whitesell","Arizona Diamondbacks","National League",0.194,108,21
"Chris Young","Arizona Diamondbacks","National League",0.212,433,92
"Garret Anderson","Atlanta Braves","National League",0.268,496,133
"Ryan Church","Atlanta Braves","National League",0.26,127,33
"Matt Diaz","Atlanta Braves","National League",0.313,371,116
"Yunel Escobar","Atlanta Braves","National League",0.299,528,158
"Jeff Francoeur","Atlanta Braves","National League",0.25,304,76
"Omar Infante","Atlanta Braves","National League",0.305,203,62
"Kelly Johnson","Atlanta Braves","National League",0.224,303,68
"Chipper Jones","Atlanta Braves","National League",0.264,488,129
"Casey Kotchman","Atlanta Braves","National League",0.282,298,84
"Adam LaRoche","Atlanta Braves","National League",0.325,212,69
"Brian McCann","Atlanta Braves","National League",0.281,488,137
"Nate McLouth","Atlanta Braves","National League",0.257,339,87
"Martin Prado","Atlanta Braves","National League",0.307,450,138
"Dave Ross","Atlanta Braves","National League",0.273,128,35
"Jordan Schafer","Atlanta Braves","National League",0.204,167,34
"Robert Andino","Baltimore Orioles","American League",0.222,198,44
"Aubrey Huff","Baltimore Orioles","American League",0.253,430,109
"Cesar Izturis","Baltimore Orioles","American League",0.256,387,99
"Adam Jones","Baltimore Orioles","American League",0.277,473,131
"Nick Markakis","Baltimore Orioles","American League",0.293,642,188
"Melvin Mora","Baltimore Orioles","American League",0.26,450,117
"Felix Pie","Baltimore Orioles","American League",0.266,252,67
"Nolan Reimold","Baltimore Orioles","American League",0.279,358,100
"Brian Roberts","Baltimore Orioles","American League",0.283,632,179
"Luke Scott","Baltimore Orioles","American League",0.258,449,116
"Matt Wieters","Baltimore Orioles","American League",0.288,354,102
"Ty Wigginton","Baltimore Orioles","American League",0.273,410,112
"Gregg Zaun","Baltimore Orioles","American League",0.244,168,41
"Rocco Baldelli","Boston Red Sox","American League",0.253,150,38
"Jason Bay","Boston Red Sox","American League",0.267,531,142
"J.D. Drew","Boston Red Sox","American League",0.279,452,126
"Jacoby Ellsbury","Boston Red Sox","American League",0.301,624,188
"Alex Gonzalez","Boston Red Sox","American League",0.284,148,42
"Nick Green","Boston Red Sox","American League",0.236,276,65
"Mike Lowell","Boston Red Sox","American League",0.29,445,129
"Julio Lugo","Boston Red Sox","American League",0.284,109,31
"Victor Martinez","Boston Red Sox","American League",0.336,211,71
"David Ortiz","Boston Red Sox","American League",0.238,541,129
"Dustin Pedroia","Boston Red Sox","American League",0.296,626,185
"Jason Varitek","Boston Red Sox","American League",0.209,364,76
"Kevin Youkilis","Boston Red Sox","American League",0.305,491,150
"Jeff Baker","Chicago Cubs","National League",0.305,203,62
"Andres Blanco","Chicago Cubs","National League",0.252,123,31
"Milton Bradley","Chicago Cubs","National League",0.257,393,101
"Mike Fontenot","Chicago Cubs","National League",0.236,377,89
"Jake Fox","Chicago Cubs","National League",0.259,216,56
"Kosuke Fukudome","Chicago Cubs","National League",0.259,499,129
"Koyie Hill","Chicago Cubs","National League",0.237,253,60
"Micah Hoffpauir","Chicago Cubs","National League",0.239,234,56
"Reed Johnson","Chicago Cubs","National League",0.255,165,42
"Derrek Lee","Chicago Cubs","National League",0.306,532,163
"Aaron Miles","Chicago Cubs","National League",0.185,157,29
"Aramis Ramirez","Chicago Cubs","National League",0.317,306,97
"Bobby Scales","Chicago Cubs","National League",0.242,124,30
"Alfonso Soriano","Chicago Cubs","National League",0.241,477,115
"Geovany Soto","Chicago Cubs","National League",0.218,331,72
"Ryan Theriot","Chicago Cubs","National League",0.284,602,171
"Brian N. Anderson","Chicago White Sox","American League",0.238,185,44
"Gordon Beckham","Chicago White Sox","American League",0.27,378,102
"Jermaine Dye","Chicago White Sox","American League",0.25,503,126
"Josh Fields","Chicago White Sox","American League",0.222,239,53
"Chris Getz","Chicago White Sox","American League",0.261,375,98
"Paul Konerko","Chicago White Sox","American League",0.277,546,151
"Mark Kotsay","Chicago White Sox","American League",0.292,113,33
"Jayson Nix","Chicago White Sox","American League",0.224,255,57
"A.J. Pierzynski","Chicago White Sox","American League",0.3,504,151
"Scott Podsednik","Chicago White Sox","American League",0.304,537,163
"Carlos Quentin","Chicago White Sox","American League",0.236,351,83
"Alexei Ramirez","Chicago White Sox","American League",0.277,542,150
"Alexis Rios","Chicago White Sox","American League",0.199,146,29
"Jim Thome","Chicago White Sox","American League",0.249,345,86
"Dewayne Wise","Chicago White Sox","American League",0.225,142,32
"Wladimir Balentien","Cincinnati Reds","National League",0.264,110,29
"Jay Bruce","Cincinnati Reds","National League",0.223,345,77
"Chris Dickerson","Cincinnati Reds","National League",0.275,255,70
"Edwin Encarnacion","Cincinnati Reds","National League",0.209,139,29
"Jonny Gomes","Cincinnati Reds","National League",0.267,281,75
"Alex Gonzalez","Cincinnati Reds","National League",0.21,243,51
"Jerry Hairston","Cincinnati Reds","National League",0.254,307,78
"Ryan Hanigan","Cincinnati Reds","National League",0.263,251,66
"Ramon Hernandez","Cincinnati Reds","National League",0.258,287,74
