"Author","Word","Count"
"Nephi","AND",65
"Nephi","OF",56
"Nephi","THAT",22
"Nephi","THE",66
"Nephi","TO",17
"Nephi","UNTO",25
"Enos","AND",89
"Enos","OF",42
"Enos","THAT",25
"Enos","THE",64
"Enos","TO",26
"Enos","UNTO",22
"Christ","AND",38
"Christ","OF",19
"Christ","THAT",28
"Christ","THE",38
"Christ","TO",9
"Christ","UNTO",23
"Mormon","AND",77
"Mormon","OF",39
"Mormon","THAT",21
"Mormon","THE",46
"Mormon","TO",9
"Mormon","UNTO",17
"Moroni","AND",73
"Moroni","OF",62
"Moroni","THAT",34
"Moroni","THE",79
"Moroni","TO",17
"Moroni","UNTO",20
