"Release.Date","Movie","Production.Budget","Worldwide.Gross"
"10/9/2015","Pan",1.5e+08,122812065
"10/2/2015","The Martian",1.08e+08,487037212
"8/7/2015","Fantastic Four",1.2e+08,167117548
"7/31/2015","Mission: Impossible - Rogue Nation",1.5e+08,700868363
"7/17/2015","Ant-Man",1.3e+08,518287603
"7/1/2015","Terminator: Genisys",1.55e+08,440160956
"6/19/2015","Inside Out",1.75e+08,851685830
"6/12/2015","Jurassic World",2.15e+08,1669143916
"5/29/2015","San Andreas",1.1e+08,469590832
"5/22/2015","Tomorrowland",1.7e+08,205336322
"5/15/2015","Mad Max: Fury Road",1.5e+08,373136354
"5/1/2015","The Avengers: Age of Ultron",2.5e+08,1404705868
"4/3/2015","Furious 7",1.9e+08,1516246709
"3/27/2015","Home",1.3e+08,386085953
"3/20/2015","Insurgent",1.1e+08,295279072
"2/6/2015","Jupiter Ascending",1.79e+08,181982519
"12/19/2014","Night at the Museum: Secret of the Tomb",1.27e+08,356546621
"12/17/2014","The Hobbit: The Battle of the Five Armies",2.5e+08,955119788
"12/12/2014","Exodus: Gods and Kings",1.4e+08,268314513
"11/26/2014","Penguins of Madagascar",1.32e+08,367650911
"11/21/2014","The Hunger Games: Mockingjay - Part 1",1.25e+08,709635885
"11/7/2014","Big Hero 6",1.65e+08,652127828
"11/5/2014","Interstellar",1.65e+08,665417894
"8/8/2014","Teenage Mutant Ninja Turtles",1.25e+08,485004754
"8/1/2014","Guardians of the Galaxy",1.7e+08,771172112
"7/25/2014","Hercules",1e+08,243388614
"7/11/2014","Dawn of the Planet of the Apes",1.7e+08,703545589
"6/27/2014","Transformers: Age of Extinction",2.1e+08,1104039076
"6/13/2014","How to Train Your Dragon 2",1.45e+08,616102924
"6/6/2014","Edge of Tomorrow",1.78e+08,364406256
"5/30/2014","Maleficent",1.8e+08,758407328
"5/23/2014","X-Men: Days of Future Past",2e+08,748121534
"5/16/2014","Godzilla",1.6e+08,529072193
"5/2/2014","The Amazing Spider-Man 2",2e+08,708996336
"4/11/2014","Rio 2",1.3e+08,493738435
"4/4/2014","Captain America: The Winter Soldier",1.7e+08,713846958
"3/28/2014","Noah",1.3e+08,352831065
"3/7/2014","Mr. Peabody & Sherman",1.45e+08,269806430
