"AdjustedMagnitude","WaterProduction"
-2.67,29.7
-3.05,29.85
-3.12,29.94
-3.3,29.92
-2.81,29.55
-8.63,28.18
-3.74,29.59
-3.57,29.48
-4.47,29.7
-4.22,29.52
-4.15,29.46
-4.43,29.36
-4.84,29.45
-5.15,29.39
-4.91,29.29
-5.15,29.22
-5.26,29.25
-5.19,29.16
-4.63,29.16
-4.91,29.08
-5.36,29.02
-5.7,28.84
-5.84,28.78
-5.94,28.88
-6.05,28.88
-5.84,28.94
-5.84,29.01
-6.05,28.98
-5.67,29.08
-5.81,29.12
-6.01,29.11
-5.74,29.21
-5.57,29.19
-5.7,29.28
-6.01,29.26
-5.98,29.19
-6.36,29.15
-6.25,29.05
-6.39,28.99
-6.46,28.98
-6.25,28.89
-6.46,28.94
-6.53,28.91
-6.74,28.89
-6.49,28.77
-6.67,28.77
-6.6,28.7
-6.88,29.03
-6.77,29.09
-6.91,29.11
-7.36,29.01
-7.53,29.08
-7.63,29.1
-7.88,29.05
-8.57,29.17
-8.22,28.91
-7.01,28.92
-6.98,28.88
-7.04,28.7
-7.25,28.68
-7.6,28.75
-7.87,28.65
-8.46,28.52
-8.63,28.54
-9.49,28.61
-9.66,28.61
-11.04,28.39
-9.49,28.45
-9.73,28.17
-9.35,28
-9.45,28.24
-8.83,28.27
-8.8,28.3
-8.66,28.3
-8.77,28.37
-8.42,28.37
-8.11,28.43
-7.84,28.38
-8.04,28.28
-7.11,28.24
