contest_period,variable,value
January-June1990,PROS,12.7
February-July1990,PROS,26.4
March-August1990,PROS,2.5
April-September1990,PROS,-20
May-October1990,PROS,-37.8
June-November1990,PROS,-33.3
July-December1990,PROS,-10.2
August1990-January1991,PROS,-20.3
September1990-February1991,PROS,38.9
October1990-March1991,PROS,20.2
November1990-April1991,PROS,50.6
December1990-May1991,PROS,66.9
January-June1991,PROS,7.5
February-July1991,PROS,17.5
March-August1991,PROS,39.6
April-September1991,PROS,15.6
May-October1991,PROS,12.4
June-November1991,PROS,3
July-December1991,PROS,12.3
August1991-January1992,PROS,39.3
September1991-February1992,PROS,51.2
October1991-March1992,PROS,25.2
November1991-April1992,PROS,-3.3
December1991-May1992,PROS,7.7
January-June1992,PROS,-21
February-July1992,PROS,-13
March-August1992,PROS,-2.5
April-September1992,PROS,-19.6
May-October1992,PROS,6.3
June-November1992,PROS,-5.1
July-December1992,PROS,14.1
August1992-January1993,PROS,15.6
September1992-February1993,PROS,-26.7
October1992-March1993,PROS,25.2
November1992-April1993,PROS,-13.9
December1992-May1993,PROS,27.9
January1993-June1993,PROS,-6.6
February1993-July1993,PROS,29.1
March1993-August1993,PROS,0.3
April1993-September1993,PROS,2.6
May1993-October1993,PROS,5
June1993-November1993,PROS,-7.4
July1993-Dec.1993,PROS,2.2
August1993-January1994,PROS,27.8
September1993-February1994,PROS,3.7
October1993-March1994,PROS,4.7
November1993-April1994,PROS,5.4
December1993-May1994,PROS,-9.5
January-June1994,PROS,-13.1
February-July1994,PROS,-10
March-August1994,PROS,28.4
April-September1994,PROS,10.6
May-October1994,PROS,27.2
June-November1994,PROS,37
July-December1994,PROS,-15.8
August1994-January1995,PROS,20.4
September1994-Febuary1995,PROS,5.4
October1994-March1995,PROS,-14.8
November1994-April1995,PROS,12.1
December1994-May1995,PROS,10.8
January1995-June1995,PROS,72.7
Febuary-July1995,PROS,30.5
March-August1995,PROS,26.7
April1995-September1995,PROS,75
May-October1995,PROS,12.6
June-November1995,PROS,31
July1995-December1995,PROS,-11
August1995-January1996,PROS,28.1
September1995-February1996,PROS,15.1
October1995-March1996,PROS,1.5
November1995-April1996,PROS,10.8
December1995-May1996,PROS,2
January-June1996,PROS,-9.2
February-July1996,PROS,-8.6
March-August1996,PROS,31.7
April-September1996,PROS,8.7
May-October1996,PROS,7
June-November1996,PROS,5.1
July-December1996,PROS,41.2
August1996-January1997,PROS,7.7
September1996-February1997,PROS,47.6
October1996-March1997,PROS,-10
November1996-April1997,PROS,-13.6
December1996-May1997,PROS,10.5
January-June1997,PROS,20.2
February-July1997,PROS,29.3
March-August1997,PROS,20.7
April-September1997,PROS,50.3
May-October1997,PROS,38.4
June-November1997,PROS,-3.5
