"Day_Month","Day_Year","Month","Month.Name","N69","N70","N71","N72"
1,1,1,"January",305,"133",207,"150"
2,2,1,"January",159,"195",225,"328"
3,3,1,"January",251,"336",246,"42"
4,4,1,"January",215,"99",264,"28"
5,5,1,"January",101,"33",265,"338"
6,6,1,"January",224,"285",242,"36"
7,7,1,"January",306,"159",292,"111"
8,8,1,"January",199,"116",287,"206"
9,9,1,"January",194,"53",338,"197"
10,10,1,"January",325,"101",231,"37"
11,11,1,"January",329,"144",90,"174"
12,12,1,"January",221,"152",228,"126"
13,13,1,"January",318,"330",183,"298"
14,14,1,"January",238,"71",285,"341"
15,15,1,"January",17,"75",325,"221"
16,16,1,"January",121,"136",74,"309"
17,17,1,"January",235,"54",9,"231"
18,18,1,"January",140,"185",51,"72"
19,19,1,"January",58,"188",195,"303"
20,20,1,"January",280,"211",310,"161"
21,21,1,"January",186,"129",206,"99"
22,22,1,"January",337,"132",108,"259"
23,23,1,"January",118,"48",349,"258"
24,24,1,"January",59,"177",337,"62"
25,25,1,"January",52,"57",2,"243"
26,26,1,"January",92,"140",114,"311"
27,27,1,"January",355,"173",72,"110"
28,28,1,"January",77,"346",357,"304"
29,29,1,"January",349,"277",266,"283"
30,30,1,"January",164,"112",268,"114"
31,31,1,"January",211,"60",239,"240"
1,32,2,"February",86,"335",306,"112"
2,33,2,"February",144,"354",28,"278"
3,34,2,"February",297,"186",250,"54"
4,35,2,"February",210,"94",92,"68"
5,36,2,"February",214,"97",233,"96"
6,37,2,"February",347,"16",148,"271"
7,38,2,"February",91,"25",304,"154"
8,39,2,"February",181,"127",208,"347"
9,40,2,"February",338,"187",130,"136"
10,41,2,"February",216,"46",276,"361"
11,42,2,"February",150,"227",351,"26"
12,43,2,"February",68,"262",340,"195"
13,44,2,"February",152,"13",118,"263"
14,45,2,"February",4,"260",64,"348"
15,46,2,"February",89,"201",214,"308"
16,47,2,"February",212,"334",353,"227"
17,48,2,"February",189,"345",198,"46"
18,49,2,"February",292,"337",189,"11"
19,50,2,"February",25,"331",210,"127"
20,51,2,"February",302,"20",86,"106"
21,52,2,"February",363,"213",15,"316"
22,53,2,"February",290,"271",13,"20"
23,54,2,"February",57,"351",116,"247"
24,55,2,"February",236,"226",359,"261"
25,56,2,"February",179,"325",335,"260"
26,57,2,"February",365,"86",136,"51"
27,58,2,"February",205,"66",217,"186"
28,59,2,"February",299,"234",83,"295"
29,60,2,"February",285,"#N/A",305,"#N/A"
1,61,3,"March",108,"14",364,"203"
2,62,3,"March",29,"77",184,"322"
3,63,3,"March",267,"207",170,"220"
4,64,3,"March",275,"117",283,"47"
5,65,3,"March",293,"299",172,"266"
6,66,3,"March",139,"296",327,"1"
7,67,3,"March",122,"141",149,"2"
8,68,3,"March",213,"79",229,"153"
9,69,3,"March",317,"278",77,"321"
10,70,3,"March",323,"150",360,"331"
11,71,3,"March",136,"317",332,"239"
12,72,3,"March",300,"24",258,"44"
13,73,3,"March",259,"241",173,"244"
14,74,3,"March",354,"12",203,"117"
15,75,3,"March",169,"157",319,"152"
16,76,3,"March",166,"258",347,"94"
17,77,3,"March",33,"220",117,"363"
18,78,3,"March",332,"319",168,"357"
19,79,3,"March",200,"189",53,"358"
20,80,3,"March",239,"170",200,"262"
21,81,3,"March",334,"246",280,"300"
22,82,3,"March",265,"269",345,"317"
23,83,3,"March",256,"281",89,"22"
24,84,3,"March",258,"203",133,"71"
25,85,3,"March",343,"298",219,"65"
26,86,3,"March",170,"121",122,"24"
27,87,3,"March",268,"254",232,"181"
28,88,3,"March",223,"95",215,"45"
29,89,3,"March",362,"147",343,"21"
30,90,3,"March",217,"56",191,"213"
31,91,3,"March",30,"38",161,"326"
1,92,4,"April",32,"224",96,"12"
2,93,4,"April",271,"216",129,"108"
3,94,4,"April",83,"297",262,"104"
4,95,4,"April",81,"37",158,"280"
5,96,4,"April",269,"124",294,"254"
6,97,4,"April",253,"312",297,"88"
7,98,4,"April",147,"142",58,"163"
8,99,4,"April",312,"267",35,"50"
9,100,4,"April",219,"223",289,"234"
10,101,4,"April",218,"165",194,"272"
11,102,4,"April",14,"178",324,"350"
12,103,4,"April",346,"89",165,"23"
13,104,4,"April",124,"143",271,"169"
14,105,4,"April",231,"202",248,"81"
15,106,4,"April",273,"182",222,"343"
16,107,4,"April",148,"31",23,"119"
17,108,4,"April",260,"264",251,"183"
18,109,4,"April",90,"138",139,"242"
19,110,4,"April",336,"62",49,"158"
20,111,4,"April",345,"118",39,"314"
21,112,4,"April",62,"8",342,"4"
22,113,4,"April",316,"256",126,"264"
