"Species","CommonName","HeadLength","BodyLength"
"Crocodylus porosus","Estuarine Crocodile",24,161
"Crocodylus porosus","Estuarine Crocodile",24,179
"Crocodylus porosus","Estuarine Crocodile",32,226
"Crocodylus porosus","Estuarine Crocodile",35,259
"Crocodylus porosus","Estuarine Crocodile",40,287
"Crocodylus porosus","Estuarine Crocodile",40,300
"Crocodylus porosus","Estuarine Crocodile",46,342
"Crocodylus porosus","Estuarine Crocodile",48,333
"Crocodylus porosus","Estuarine Crocodile",52,406
"Crocodylus porosus","Estuarine Crocodile",61,459
"Crocodylus porosus","Estuarine Crocodile",51,376
"Crocodylus porosus","Estuarine Crocodile",54,380
"Crocodylus porosus","Estuarine Crocodile",38,265
"Crocodylus porosus","Estuarine Crocodile",46,349
"Crocodylus porosus","Estuarine Crocodile",38,264
"Crocodylus porosus","Estuarine Crocodile",49,358
"Crocodylus porosus","Estuarine Crocodile",39,276
"Crocodylus porosus","Estuarine Crocodile",49,356
"Crocodylus porosus","Estuarine Crocodile",40,270
"Crocodylus porosus","Estuarine Crocodile",53,392
"Crocodylus porosus","Estuarine Crocodile",61,442
"Crocodylus porosus","Estuarine Crocodile",53,377
"Crocodylus porosus","Estuarine Crocodile",44,322
"Crocodylus porosus","Estuarine Crocodile",54,390
"Crocodylus porosus","Estuarine Crocodile",50,377
"Crocodylus porosus","Estuarine Crocodile",57,419
"Crocodylus porosus","Estuarine Crocodile",40,276
"Crocodylus porosus","Estuarine Crocodile",51,368
