Age,GPA,Major
33,3.27,Social Studies Ed Compos
30,2.60,Communication
30,3.54,Communication
35,3.25,Political Science
34,3.61,Biology
28,3.60,Fine Arts
29,3.18,Social Work
28,3.12,Agbus Sci & Tech
26,3.68,Accounting
26,3.41,Business Management
26,3.51,Communication
27,3.52,Child Development
26,3.57,Musical Arts
24,2.49,English Education
28,3.40,Communication
27,3.77,Communication
33,2.79,Psychology
27,3.93,Interior Design
31,2.92,Business Management
30,3.46,Biology
27,3.55,English
28,3.00,Political Science
27,3.00,Interior Design
45,3.93,University Studies
28,3.91,Business Management
25,4.00,Social Studies Ed Compos
47,3.53,Early Child/ Special Ed
26,3.90,Exercise Science
28,2.76,Sociology
39,3.89,English Education
26,3.81,History
28,3.88,Fine Arts
30,3.42,Mechanical Engineering
28,2.99,Accounting
26,3.35,University Studies
31,3.92,Nursing
28,3.18,University Studies
23,3.94,English
26,3.08,Music
26,3.97,Child Development
30,3.74,Accounting
32,3.55,Exercise Science
59,3.55,Nursing
27,2.56,Communication
30,3.38,Nursing
28,3.42,Business Management
26,3.07,Psychology
28,3.48,Accounting
45,3.33,University Studies
25,3.14,University Studies
32,3.09,Early Child/ Special Ed
27,3.75,Horticulture
26,3.33,Fam & Consum Sci Ed Comp
26,3.95,Elementary Education
24,3.60,Political Science
26,3.22,Social Studies Ed Compos
28,3.00,Mechanical Engineering
29,3.09,University Studies
28,3.40,Art
27,3.08,Interior Design
28,3.38,Spanish Education
27,3.65,Recreation Leadership
28,3.37,University Studies
32,2.94,University Studies
26,3.76,Communication
27,3.48,Accounting
33,3.49,University Studies
29,3.73,Computer Info Technology
30,2.76,Art
27,2.75,Biology
28,3.62,Biology
28,3.88,Math Education
26,3.23,Sociology
30,2.63,University Studies
27,3.20,Early Child/ Special Ed
27,3.74,Business Management
28,2.92,Elementary Education
31,3.39,Communication
29,2.82,Construction Management
30,3.84,Music
24,3.20,Health Science
25,2.81,Exercise Science
30,3.37,Art
31,2.78,Business Management
27,3.96,Elementary Education
27,3.82,Nursing
30,3.34,University Studies
25,3.61,Nursing
29,3.39,English
34,3.56,Nursing
25,3.71,English
27,3.38,Accounting
31,3.30,Biology
30,2.59,Fine Arts
28,3.90,Economics
29,3.19,Recreation Management
29,3.58,Exercise Science
26,3.80,Music Education Composit
27,3.43,Music
26,3.35,University Studies
28,2.56,Health Science
27,3.30,Sociology
32,3.26,University Studies
29,3.30,Construction Management
26,3.89,Early Child/ Special Ed
32,2.88,Mechanical Engineering
31,2.91,English Education
30,3.80,Business Management
27,3.16,Health Science
24,3.53,Psychology
29,3.36,Business Management
25,3.73,Interior Design
28,3.01,Business Management
25,3.88,University Studies
26,3.80,Exercise Physiology
26,3.11,Early Child/ Special Ed
24,3.52,University Studies
27,3.43,Exercise Science
27,3.64,Biology
29,3.33,Horticulture
27,3.72,Sociology
24,4.00,Math Education
27,3.51,Early Child/ Special Ed
32,2.76,Communication
26,3.27,Recreation Management
24,2.86,English
27,3.47,Nursing
26,3.56,Music
30,3.63,Nursing
29,3.35,Construction Management
27,3.38,Geology
26,3.18,University Studies
29,3.08,Math Education
29,2.48,Communication
29,3.63,Exercise Science
28,3.76,Math Education
30,3.44,Political Science
25,3.27,Political Science
27,2.71,Art
25,3.84,Elementary Education
30,3.70,Recreation Leadership
29,2.60,Communication
30,3.39,Elementary Education
27,3.00,English
28,2.94,University Studies
40,2.89,Accounting
26,3.48,Exercise Science
27,3.39,Economics
27,3.53,Elementary Education
27,3.94,Biology
28,3.89,Interior Design
28,3.40,Communication
28,3.75,Mechanical Engineering
34,3.68,Nursing
28,3.96,University Studies
30,3.38,Art
28,3.04,University Studies
29,3.77,Art
30,3.37,University Studies
26,3.22,Mechanical Engineering
29,2.79,Social Work
24,3.91,Communication
31,3.46,University Studies
24,3.84,Elementary Education
25,3.39,Elementary Education
30,2.86,Business Management
26,3.69,Social Work
29,3.61,Child Development
31,3.89,Computer Science
30,3.79,Business Management
23,3.47,English
29,3.59,Music
27,3.75,Sociology
28,3.21,Early Child/ Special Ed
27,3.57,University Studies
26,3.38,Political Science
25,3.75,Musical Arts
33,2.83,Accounting
30,3.25,Accounting
28,3.82,Exercise Science
28,3.86,Communication
27,3.36,Accounting
30,3.47,Biology
31,3.32,Communication
29,3.59,Art
28,2.95,University Studies
29,3.77,Business Management
25,3.71,Art
29,3.36,Exercise Science
33,3.44,Computer Engineering
26,3.32,Business Management
31,2.96,Business Management
25,2.71,University Studies
29,3.07,Sociology
27,3.68,Political Science
30,3.80,Business Management
28,3.49,Communication
28,3.95,Horticulture
31,3.44,Health Science
29,3.71,Communication
32,3.08,Business Management
28,3.86,University Studies
29,3.77,Communication
27,3.75,Nursing
23,3.34,Psychology
28,2.96,Business Management
30,3.11,Biology
32,3.88,Economics
46,3.72,Nursing
26,3.21,Sociology
29,3.31,Accounting
25,3.23,University Studies
27,3.71,Health Education
34,3.14,Accounting
26,3.89,University Studies
32,3.06,University Studies
26,2.85,Child Development
29,3.52,Health Science
31,3.68,Math Education
27,3.79,Communication
27,2.61,Communication
26,3.29,Computer Info Technology
30,3.42,Biology
29,3.68,University Studies
35,3.35,Business Management
30,3.42,Psychology
38,3.43,Psychology
26,3.71,Elementary Education
26,3.94,University Studies
26,3.75,University Studies
25,3.45,Elementary Education
28,3.87,Sociology
30,3.56,Spanish Education
27,3.62,Social Work
30,3.57,Exercise Physiology
29,3.34,University Studies
25,3.39,Computer Info Technology
34,3.42,Construction Management
30,3.67,Nursing
27,3.31,Early Child/ Special Ed
28,3.83,Music
33,3.25,Nursing
29,3.02,History
27,3.73,Elementary Education
26,3.20,Elementary Education
33,3.10,Construction Management
27,3.54,Biology
25,3.75,Nursing
28,3.95,Mechanical Engineering
26,3.87,Child Development
39,3.43,Construction Management
27,3.30,Child Development
33,3.52,Spanish Education
28,2.87,Child Development
26,3.67,Nursing
27,3.64,Computer Info Technology
32,2.94,Agbus Sci & Tech
32,3.15,Health Science
32,3.41,Health Science
27,3.35,Construction Management
28,3.17,Elementary Education
24,3.35,Psychology
28,3.82,Nursing
26,3.36,University Studies
32,3.10,History
30,3.98,Biology
25,3.16,Art
31,2.87,Mechanical Engineering
31,3.86,Geology
25,3.50,Elementary Education
32,3.36,Agbus Sci & Tech
37,3.74,Nursing
30,3.66,Art
25,3.95,English
30,3.67,Economics
25,3.07,Health Science
32,3.03,Agbus Sci & Tech
28,3.80,Child Development
26,3.80,Geology
29,3.53,Communication
28,3.68,Biology
30,3.89,Business Management
26,3.28,Business Management
29,3.54,Fine Arts
27,3.81,Construction Management
28,3.48,Child Development
25,3.21,Elementary Education
30,3.72,Exercise Science
27,3.93,Elementary Education
28,2.97,Psychology
30,3.61,Elementary Education
26,3.85,Child Development
24,3.80,Biology
26,3.39,English
27,3.34,Communication
59,3.74,Accounting
31,3.54,Psychology
28,3.58,Communication
28,3.56,Nursing
25,3.23,Health Science
32,3.24,Business Management
29,3.62,Sociology
28,3.48,Health Science
37,3.08,Social Work
26,2.80,Elementary Education
25,3.93,English Ed Composite
30,3.08,Health Science
25,3.75,English Ed Composite
32,2.26,University Studies
30,2.85,Construction Management
31,3.46,Construction Management
26,3.90,Nursing
26,3.69,Accounting
26,3.21,Early Child/ Special Ed
27,3.26,Theatre & Speech Educ
27,3.27,Business Management
25,3.69,Interior Design
28,2.89,History
29,3.52,Sociology
28,2.49,Art
30,3.07,Health Science
32,3.20,Health Science
26,3.67,Elementary Education
33,3.12,University Studies
25,3.87,Accounting
29,3.66,Nursing
24,3.50,Sociology
26,3.67,Math Education
23,3.53,Exercise Physiology
25,3.63,Elementary Education
27,3.67,University Studies
25,3.87,Sociology
28,3.42,Music Education Composit
29,3.60,Exercise Science
29,3.60,Computer Science
27,3.86,Art
26,3.84,Accounting
27,3.96,Business Management
50,3.33,Nursing
29,3.05,Computer Info Technology
45,3.79,Exercise Physiology
26,3.60,Accounting
26,3.44,Music
26,3.56,Mechanical Engineering
31,3.76,Psychology
26,3.24,Health Science
27,2.87,Geology
24,3.44,Communication
31,2.90,University Studies
28,2.90,Music
29,2.74,Communication
56,3.36,Nursing
26,2.84,Communication
26,3.48,Computer Info Technology
25,3.62,English
29,3.02,Agbus Sci & Tech
29,3.90,Exercise Science
48,3.40,University Studies
29,3.08,Business Management
24,3.17,Horticulture
28,3.21,Horticulture
28,3.86,Nursing
27,3.78,Sociology
25,3.26,Communication
23,2.77,Psychology
32,3.57,Health Science
28,3.93,Elementary Education
32,2.42,Animal Science
32,3.03,Business Management
29,2.98,Accounting
26,3.40,Child Development
36,3.01,Business Management
34,3.62,Social Work
28,3.06,University Studies
31,3.01,Health Education
28,3.59,Social Studies Ed Compos
26,3.29,Art
28,3.60,Business Management
28,3.37,Business Management
26,2.97,Communication
31,3.88,Accounting
25,3.75,Psychology
29,3.50,Social Work
23,3.97,University Studies
29,3.22,Business Management
23,3.95,Psychology
25,3.72,Psychology
28,3.70,Elementary Education
27,3.48,Fine Arts
26,3.63,Communication
31,3.79,Mechanical Engineering
31,3.18,Exercise Science
28,3.42,Elementary Education
32,3.32,Biology
31,2.78,Psychology
28,3.26,Exercise Science
28,3.81,Elementary Education
25,3.82,University Studies
30,2.38,English
27,2.69,Art
29,3.59,Agbus Sci & Tech
39,2.67,Accounting
29,3.96,Elementary Education
29,2.91,Biology
29,3.82,Business Management
30,2.73,Business Management
41,3.63,History
29,3.68,Elementary Education
30,2.90,University Studies
25,3.30,Elementary Education
24,3.13,English Ed Composite
30,2.60,Accounting
30,3.54,Nursing
26,3.84,Health Science
51,3.69,University Studies
27,3.06,Health Education
30,2.96,Business Management
29,3.28,Music
56,3.61,Nursing
27,3.34,Accounting
32,3.01,Social Work
27,3.20,Business Management
25,3.67,Social Work
30,3.24,Biology
26,3.95,Interior Design
29,1.90,Computer Science
26,3.86,Exercise Physiology
29,3.06,Computer Science
27,3.80,Biology
25,3.47,Geology
27,2.53,Communication
30,3.69,Agbus Sci & Tech
28,3.65,Biology
28,3.91,Exercise Science
29,3.53,Health Care Admin
28,3.76,Communication
24,3.73,Horticulture
26,3.83,Nursing
30,3.02,Communication
29,3.18,Business Management
31,2.63,Child Development
30,3.16,Horticulture
30,3.44,Elementary Education
27,3.82,Health Science
28,3.23,Elementary Education
30,2.92,History
27,3.73,Nursing
27,3.75,English
31,3.21,Business Management
25,3.14,Exercise Science
26,3.24,Construction Management
27,3.65,English
30,3.62,Communication
30,2.88,University Studies
42,3.16,University Studies
27,3.17,Psychology
29,3.77,University Studies
31,2.88,Psychology
25,3.97,Math Education
29,3.51,Economics
27,3.10,Business Management
24,3.67,Art
32,3.46,Exercise Science
31,3.67,Psychology
26,3.53,Health Science
27,3.51,Exercise Physiology
30,3.45,University Studies
56,3.82,Nursing
29,3.54,Construction Management
33,2.91,Psychology
27,3.32,Communication
31,3.91,Communication
28,3.61,University Studies
28,3.29,Construction Management
25,3.21,Health Science
23,3.84,Recreation Management
29,3.62,Elementary Education
35,3.76,Recreation Leadership
31,3.43,Biology
26,3.89,Art
30,3.07,Construction Management
29,3.35,Interior Design
35,3.39,Business Management
31,3.40,History Education
29,3.73,Spanish Education
30,3.56,Political Science
29,3.98,Biology
30,2.83,Accounting
30,3.41,University Studies
26,3.21,Communication
27,3.01,Biology
27,3.78,Sociology
26,3.52,Exercise Physiology
26,3.89,Math Education
55,3.60,Nursing
31,3.29,Biology
25,3.61,University Studies
26,3.75,Health Science
29,3.32,History Education
26,3.98,Accounting
