"Species","CommonName","HeadLength","BodyLength"
"Gavialis gangeticus","Indian Gharial",35,177
"Gavialis gangeticus","Indian Gharial",49,264
"Gavialis gangeticus","Indian Gharial",56,311
"Gavialis gangeticus","Indian Gharial",64,382
"Gavialis gangeticus","Indian Gharial",61,385
"Gavialis gangeticus","Indian Gharial",71,475
"Gavialis gangeticus","Indian Gharial",83,548
"Gavialis gangeticus","Indian Gharial",51,343
"Gavialis gangeticus","Indian Gharial",62,386
"Gavialis gangeticus","Indian Gharial",52,338
"Gavialis gangeticus","Indian Gharial",52,319
"Gavialis gangeticus","Indian Gharial",39.5,224
"Gavialis gangeticus","Indian Gharial",38.3,202
"Gavialis gangeticus","Indian Gharial",37.5,218
"Gavialis gangeticus","Indian Gharial",32.3,183
"Gavialis gangeticus","Indian Gharial",35.8,203
"Gavialis gangeticus","Indian Gharial",38.2,209
