"Grateful","Hassles","Events"
6.1,5.9,4.9
6.2,5.4,4.2
3.7,3.7,4.1
4.4,4.4,4.8
5.7,3.8,6.7
7.5,3.4,3.6
5.4,5.3,4.8
4.3,5.4,4.7
4.8,4.2,4.4
6,5.5,5.1
5.6,6.1,5.4
4.3,4.6,4
4.4,6.2,3.8
5.1,3.9,4.5
3.9,4.6,5.2
5.2,3.4,5.1
4.2,5.3,4.5
6,3.7,3
5.7,4.5,4.9
3.5,4.2,4.2
6.6,3.5,3.9
5.8,3.5,4.9
5.3,5.2,5.2
3.9,5.9,3.3
5,5.9,4.7
3.8,4.5,4.9
4.3,4.6,5
5,4.4,4.3
5.7,6,4.7
5.4,3.8,4.2
4.9,4.7,5.5
5.1,5.4,4.3
5.5,3.5,5.3
6.2,4.4,5
6.2,4.6,4.1
4,4.3,4.9
4.1,4.7,5.1
6.6,3.8,5.4
5.5,5.3,3.2
5.1,3.9,5
5.1,4.6,4.3
5.3,3.3,5.4
4.3,4.6,5
3.5,3.4,4.2
5.6,4.8,4
3.8,5.6,4.8
4.4,3.8,3.4
4,5.6,3.4
7,4.8,5.7
7.2,4.7,6.8
4.2,5.4,3.6
4.2,4.8,3.8
4.1,5.6,4.8
4.2,4.8,3.5
4.9,5.5,4.8
5.4,5.3,4.3
5,5.6,6
6.5,3.7,6.7
4.8,3.8,5.7
4,5.3,5.9
5.3,4.1,3.3
4.4,6.2,5.9
5.1,3.8,4.5
4.9,NA,4.6
NA,NA,3.7
