"Supernova","Velocity","Distance","RES_1"
"SN 1990O",9065,134.7,-673.68604
"SN 1990T",12012,158.9,581.61557
"SN 1990af",15055,198.6,849.39136
"SN 1991S",16687,238.9,-335.77578
"SN 1991U",9801,117.1,1292.64006
"SN 1991ag",4124,56,-113.17105
"SN 1992J",13707,183.9,528.99327
"SN 1992P",7880,121.5,-935.94147
"SN 1992ag",7765,102.1,305.21343
"SN 1992al",4227,58,-149.98083
"SN 1992bc",5935,88.6,-581.07052
"SN 1992bg",10696,151.4,-210.09774
"SN 1992bh",13518,202.5,-960.23772
"SN 1992bk",17371,235.9,557.93889
"SN 1992bl",12871,176.8,189.31801
"SN 1992bo",5434,77.9,-334.08818
"SN 1993O",15567,236.1,-1260.04208
"SN 1993ag",15002,215.4,-378.01082
"SN 1993ah",8604,119.7,-86.11266
"SN 1993ac",14764,202.3,299.74326
"SN 1993ae",5424,71.8,82.33166
"SN 1994M",7241,96.7,158.69985
"SN 1994Q",8691,127.8,-565.34229
"SN 1994S",4847,66.8,-145.14388
"SN 1994T",10715,149.9,-86.2404
"SN 1995ac",14634,185.6,1337.15496
"SN 1995ak",6673,82.4,590.33981
"SN 1996C",9024,136,-805.5624
"SN 1996bl",10446,132.7,847.12374
