"HatSize","Circumference","MajorAxis","MinorAxis","WhereMade","Manufacturer"
6.625,20,7,5.75,0,1
6.75,21,7,6,1,0
6.875,21,8,6,0,1
6.875,21,7,6,0,1
6.875,21,8,6,1,2
6.875,22,7,6.25,1,0
7,21,8,6,0,1
7,21,8,6,1,2
7,21,8,6.25,1,2
7,22,8,6.25,1,0
7.125,22,8,6.25,0,1
7.125,22,8,6.5,1,3
7.125,22,8,6.25,1,2
7.125,22,8,6.25,1,0
7.25,22,8,6.25,0,1
7.25,23,8,6.5,1,0
7.375,22,8,6.5,0,1
7.375,22,8,6.5,0,1
7.375,23,8,6.5,1,2
7.375,23,8,6.5,1,0
7.375,23,8,6.5,1,0
7.5,23,8,6.5,0,1
7.5,23,8,6.5,1,2
7.625,23,8,6.5,0,1
7.625,23,8,6.5,0,1
7.625,23,8,6.75,1,2
