"Year","Age","Vehicle","Model","Price","Mileage","Seller","Body","Color","IsSaturnDealer","NonSaturnDealer","City","Distance"
2004,3,"Saturn Ion","Ion",3900,34000,"Classified Ad","Unknown","Silver",0,0,"Los Angeles",18
1998,9,"Saturn SL 2","SL",3950,87000,"California Motor Cars","Sedan","Green",0,1,"Los Angeles",20
1999,8,"Saturn SL 2","SL",5495,79865,"Universal Auto Plaza","Sedan","Silver",0,1,"Los Angeles",12
2002,5,"Saturn SL 1","SL",4900,55000,"Individual Seller","Sedan","Black",0,1,"Los Angeles",13
1996,11,"Saturn SL 2","SL",3150,103000,"Classified Ad","Sedan","Green",0,0,"Los Angeles",0
2000,7,"Saturn SL 1","SL",4450,64000,"Classified Ad","Sedan","Other",0,0,"Los Angeles",16
2003,4,"Saturn L 300","L",9500,28000,"Classified Ad","Sedan","Other",0,0,"Los Angeles",0
2000,7,"Saturn SL 2","SL",6988,76625,"Carson Honda","Sedan","Green",0,1,"Los Angeles",16
2004,3,"Saturn VUE","VUE",15199,28935,"Norwalk Toyota","SUV","Black",0,1,"Los Angeles",13
2002,5,"Saturn SL 1","SL",8499,62489,"Harris Buick Pontiac GMC & Saturn of Whittier","Sedan","Red",1,0,"Los Angeles",14
2004,3,"Saturn Ion","Ion",10902,35958,"Cerritos Ford Lincoln Mercury","Sedan","Silver",0,1,"Los Angeles",16
2003,4,"Saturn VUE","VUE",17995,27979,"Carson Honda","SUV","Silver",0,1,"Los Angeles",16
1995,12,"Saturn SL 2","SL",2590,81000,"Classified Ad","Sedan","Other",0,0,"Los Angeles",16
2003,4,"Saturn VUE","VUE",15988,35223,"Longo Toyota/Scion","SUV","Silver",0,1,"Los Angeles",12
2001,6,"Saturn L 300","L",6995,63189,"Mountain Motors","Sedan","Red",0,1,"Los Angeles",28
1999,8,"Saturn SC 2","SC",5995,101717,"Universal Auto Plaza","Coupe","Green",0,1,"Los Angeles",12
1995,12,"Saturn SC","SC",950,108060,"Bundy Motors","Coupe","Green",0,1,"Los Angeles",12
1999,8,"Saturn SL 2","SL",3795,69000,"Classified Ad","Sedan","White",0,0,"Los Angeles",8
1995,12,"Saturn SC 2","SC",3950,53000,"California Motor Cars","Coupe","Blue",0,1,"Los Angeles",20
2003,4,"Saturn VUE","VUE",12950,38138,"Reynolds Buick Pontiac GMC","SUV","Black",0,1,"Los Angeles",20
2004,3,"Saturn VUE","VUE",18495,29606,"Harris Buick Pontiac GMC & Saturn of Whittier","SUV","Silver",1,0,"Los Angeles",14
1999,8,"Saturn SL 2","SL",950,97000,"Classified Ad","Sedan","Other",0,0,"Los Angeles",0
