"ListPrice","Bedrooms","TotalBaths","Style","Age","LotSize","SQFT","Taxes","IsFixerUpper","Elementary","JrHigh","High","Subdivision","City","County","Fireplace","FloodPlain"
136500,2,1.5,"2 Story",3,0.03,1250,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","N"
136500,2,1.5,"2 Story",3,0.03,1250,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","N"
136500,2,1.5,"2 Story",3,0.03,1250,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","N"
167900,3,2,"1 Story",30,0.3,1760,1032,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","REXBURG TOWNSITE","REXBURG","Madison","Yes","U"
319000,6,3,"1 Story",6,5.98,3300,1881,"No","ARCHER 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","N"
699000,6,4,"2 Story",2,1,5226,NA,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","SADDLE CREEK ESTATES","REXBURG","Madison","Yes","N"
445000,6,3,"1 Story",6,1,4550,2408,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","MOUNTAIN VIEW","REXBURG","Madison","Yes","N"
274000,6,3,"1 Story",2,0.24,3220,448,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","STONEBRIDGE","REXBURG","Madison","Yes","N"
119900,2,1,"1 Story",75,0.16,1310,641,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","REXBURG TOWNSITE","REXBURG","Madison","No","N"
219900,5,3,"1 Story",14,0.25,2804,1970,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","CRESTHAVEN","REXBURG","Madison","Yes","N"
149900,3,2,"1 Story",5,0.21,1093,2019,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","OAKBROOK","REXBURG","Madison","No","N"
205000,5,3,"3 Level",4,0.73,2940,999,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","CEDAR BUTTE","REXBURG","Madison","No","N"
279000,5,3,"1 Story",3,0.5,3280,4988,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","Hidden Valley","REXBURG","Madison","No","U"
160000,2,1,"1 Story",32,0.37,1409,864,"No","CENTRAL 322EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","SUGAR CITY","SUGAR CITY","Madison","Yes","N"
189900,5,3,"1 Story",10,1.6,2475,1390,"No","LYMAN 321EL ","MADISON 321JH ","MADISON 321HS ","Paradise Acres","REXBURG","Madison","Yes","U"
305000,6,3,"1 Story",4,0.25,3696,2721,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","Hidden Valley","REXBURG","Madison","Yes","N"
347000,3,2.5,"2 Story",2,0.38,3932,NA,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","SKY MEADOWS","REXBURG","Madison","No","U"
129900,3,1.8,"1 Story",34,1,1200,1100,"No","CENTRAL 322EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","NONE","SUGAR CITY","Madison","Yes","N"
184500,3,2,"1 Story",4,0.72,2412,1033,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","CEDAR BUTTE","REXBURG","Madison","No","N"
289900,5,2,"1 Story",32,6,2684,1453,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","U"
126900,2,1,"2 Story",1,0.06,1460,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","N"
199000,3,2,"1 Story",6,0.23,2694,1004,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","OAKBROOK","REXBURG","Madison","No","U"
199900,3,2,"Split Entry",2,1,2240,NA,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","LARSON PLACE","REXBURG","Madison","No","U"
209000,3,2,"4 Level",2,1,1980,NA,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","LARSON PLACE","REXBURG","Madison","No","N"
259000,3,2,"2 Story",2,1,3631,NA,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","LARSON PLACE","REXBURG","Madison","No","U"
185000,3,2,"1 Story",4,0.25,1701,1080,"No","CENTRAL 322EL ","KERSHAW MIDDLE ","SUGAR SALEM 322HS ","ORIGINAL TOWNSITE","SUGAR CITY","Madison","No","N"
399900,5,4,"2 Story",7,2.08,3630,3298,"No","BURTON 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","N"
379000,6,3,"1 Story",3,0.4,3600,2676,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","Hidden Valley","REXBURG","Madison","Yes","U"
924500,5,5.5,"2 Story",4,3.22,5601,8466,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","N"
129000,2,1,"1 Story",80,0.07,1420,690,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","ORIGINAL TOWNSITE","REXBURG","Madison","No","U"
199900,3,2,"1 Story",1,0.26,2860,548,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","Yes","N"
259000,5,3,"1 Story",4,0.26,3860,1970,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","No","N"
224900,3,3,"1 Story",2,0.23,3122,1850,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","Yes","N"
219900,5,3,"2 Story",32,0.53,2537,1086,"No","CENTRAL 322EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","SUGAR CITY","SUGAR CITY","Madison","Yes","U"
109900,3,2,"1 Story",26,0.5,1512,402,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","N"
324900,6,3,"1 Story",3,0.5,3510,2992,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","WILLOWBROOK","REXBURG","Madison","Yes","N"
150000,4,2,"1 Story",60,0.23,1794,923,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","U"
219900,5,3,"3 Level",6,0.23,2208,851,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","OAKBROOK","REXBURG","Madison","No","N"
139900,3,2,"2 Story",1,0.01,2062,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","REXBURG TOWNSITE","REXBURG","Madison","No","U"
259000,4,3,"1.5 Story",17,6,2580,1793,"No","BURTON 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","U"
136000,3,2,"2 Story",5,0.03,1270,1047,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","PARKSIDE","REXBURG","Madison","No","N"
112000,2,1.5,"2 Story",6,0.02,1080,1456,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","LEGACY","REXBURG","Madison","No","U"
1475000,7,5.5,"4 Level",18,23.5,7989,7387,"No","CENTRAL 322EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","NONE","REXBURG","Madison","Yes","U"
199000,5,2.5,"2 Story",45,0.23,2616,1254,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","RIGBY-MAD","REXBURG","Madison","No","N"
289000,6,3,"1 Story",11,2.97,3483,1118,"Yes","BURTON 321EL ","MADISON 321JH ","MADISON 321HS ","MENAN BUTTE EST","MENAN","Madison","Yes","N"
159900,4,1.5,"3 Level",38,1,2000,968,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","N"
127900,3,2,"2 Story",2,0.01,1460,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","MEADOWS","REXBURG","Madison","No","U"
199900,3,2,"1 Story",2,0.24,3262,548,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","Yes","N"
295000,5,3,"1 Story",6,0.26,3320,2000,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","Hidden Valley","REXBURG","Madison","Yes","N"
275000,5,2,"3 Level",90,4.9,3003,1167,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","N"
