"Fiscal.Year","Power.Boats..in.1000.s.","Manatees"
1977,436,14
1978,449,21
1979,470,18
1980,487,19
1981,502,24
1982,501,18
1983,515,20
1984,548,27
1985,575,30
1986,604,34
1987,635,31
1988,665,49
1989,701,51
1990,709,43
1991,671,50
1992,669,43
1993,668,32
1994,686,49
1995,703,41
1996,722,56
1997,745,52
1998,799,57
1999,820,84
2000,868.656,92
2001,932.016,69
2002,951.62,97
2003,968.51,75
2004,973.631,71
2005,1001.063,71
2006,1015.245,92
2007,1017.939,76
2008,1001.054,79
2009,974.537,91
2010,935.275,95
2011,915.887,77
