"Gender","Score","ConfidenceRatingMean","Comments"
"F",50,4.34,"Shane Goodwin and other researchers studied factors that affect a student's confidence"
"F",83.3,4.73,"on a multiple-choice Mathematics exam. A group of n = 139 students in an Intermediate"
"F",76.7,5.28,"Algebra course at BYU-Idaho participated in the study."
"F",50,2.83,""
"F",76.7,5.4,"The exam consisted of 30 multiple-choice problems worth a total of 100 points."
"F",73.3,4.03,"The students' scores out of 100 points are given in the variable ""Scores."""
"F",100,4.9,""
"F",96.7,5.93,"For each test question, the students evaluated their confidence in their response"
"F",73.3,3.89,"on a scale of 1 to 6."
"F",60,2.48,""
"F",70,3.53,"Confidence Rating Scale:"
"F",90,5.27,"1 - Random guess (no clue)"
"F",33.3,2.37,"2 - Very unsure"
"F",83.3,4.31,"3 - Somewhat unsure"
"F",80,5.33,"4 - Somewhat sure"
"F",73.3,4.13,"5 - Very sure"
"F",86.7,5.7,"6 - Certain (absolutely sure)"
"F",76.7,5.17,"Confidence ratings were not relayed to the instructor, and they did not affect the grade"
"F",76.7,4.33,"on the exam."
"F",86.7,5.33,""
"F",63.3,3.83,"The mean confidence rating marked by each student is given in the variable"
"F",76.7,4.93,"""ConfidenceRatingMean."""
"F",76.7,4.57,""
"F",46.7,4.07,"Source:"
"F",70,3.37,"K. Shane Goodwin, Lee Ostrom, and Karen Wilson Scott. Gender differences in"
"F",80,4.4,"mathematics self-efficacy and back substitution in multiple-choice assessment."
"F",43.3,2,"Journal of Adult Education, 38(1):22-42, 2009."
"F",60,3.57,""
"F",80,4.6,""
"F",50,3.4,""
"F",80,3.72,""
"F",76.7,4.14,""
"F",90,4.17,""
"F",96.7,4.3,""
"F",53.3,2.35,""
"F",73.3,4.63,""
"F",30,3.9,""
"F",53.3,3.73,""
"F",66.7,4.43,""
"F",100,5.53,""
"F",83.3,5.43,""
"F",90,4.37,""
"F",76.7,3.8,""
"F",90,4.73,""
"F",93.3,4.69,""
"F",70,4.13,""
"F",76.7,5.3,""
"F",86.7,5.03,""
"F",66.7,3.79,""
"F",76.7,4.47,""
"F",86.7,4.47,""
"F",46.7,2.77,""
"F",73.3,4.2,""
"F",93.3,5.33,""
"F",70,3.83,""
"F",100,5.5,""
"F",50,4.67,""
"F",80,5.13,""
"F",70,4.5,""
"F",96.7,5.5,""
"F",46.7,3.21,""
"F",86.7,5.5,""
"F",86.7,4.37,""
"F",86.7,4.11,""
"M",53.3,4.17,""
"M",70,4.12,""
"M",90,4.7,""
"M",93.3,5,""
"M",83.3,5.41,""
"M",63.3,3.03,""
"M",50,3.47,""
"M",60,1.57,""
"M",73.3,3.2,""
"M",36.7,3,""
"M",93.3,5.67,""
"M",83.3,4.43,""
"M",73.3,5.1,""
"M",56.7,3.28,""
"M",96.7,6,""
"M",70,5.4,""
"M",66.7,3.9,""
"M",66.7,3.67,""
"M",83.3,4.33,""
"M",93.3,5.87,""
"M",90,5.31,""
"M",93.3,4.6,""
"M",83.3,5.97,""
"M",83.3,4.27,""
"M",43.3,4.56,""
"M",63.3,4.23,""
"M",93.3,4.9,""
"M",66.7,4.83,""
"M",56.7,2.52,""
"M",56.7,4.59,""
"M",73.3,3.12,""
"M",93.3,5.77,""
"M",66.7,4.43,""
"M",100,5.2,""
"M",86.7,5.6,""
"M",43.3,2.37,""
"M",73.3,4.8,""
"M",63.3,4.62,""
"M",40,3.53,""
"M",43.3,2.61,""
"M",73.3,3.45,""
"M",90,4.6,""
"M",93.3,6,""
"M",76.7,4.93,""
"M",86.7,5.17,""
"M",80,4.33,""
"M",76.7,5.37,""
"M",53.3,3.62,""
"M",93.3,4.5,""
"M",76.7,4.31,""
"M",90,5.33,""
"M",83.3,4.7,""
"M",76.7,3.3,""
"M",93.3,5.73,""
"M",93.3,4.93,""
"M",80,3.83,""
"M",80,5.13,""
"M",86.7,5.67,""
"M",70,4.87,""
"M",76.7,4.15,""
"M",73.3,4.37,""
"M",56.7,3.36,""
"M",90,5.17,""
"M",76.7,4.37,""
"M",90,5.2,""
"M",53.3,3.4,""
"M",36.7,3.34,""
"M",83.3,4.04,""
"M",73.3,4.27,""
"M",86.7,5.43,""
"M",86.7,5.83,""
"M",90,5.77,""
"M",96.7,5.8,""
"M",76.7,4.6,""
"M",70,3.77,""
