"X","variable","value"
1,"Soprano",64
2,"Soprano",62
3,"Soprano",66
4,"Soprano",65
5,"Soprano",60
6,"Soprano",61
7,"Soprano",65
8,"Soprano",66
9,"Soprano",65
10,"Soprano",63
11,"Soprano",67
12,"Soprano",65
13,"Soprano",62
14,"Soprano",65
15,"Soprano",68
16,"Soprano",65
17,"Soprano",63
18,"Soprano",65
19,"Soprano",62
20,"Soprano",65
21,"Soprano",66
22,"Soprano",62
23,"Soprano",65
24,"Soprano",63
25,"Soprano",65
26,"Soprano",66
27,"Soprano",65
28,"Soprano",62
29,"Soprano",65
30,"Soprano",66
31,"Soprano",65
32,"Soprano",61
33,"Soprano",65
34,"Soprano",66
35,"Soprano",65
36,"Soprano",62
37,"Alto",65
38,"Alto",62
39,"Alto",68
40,"Alto",67
41,"Alto",67
42,"Alto",63
43,"Alto",67
44,"Alto",66
45,"Alto",63
46,"Alto",72
47,"Alto",62
48,"Alto",61
49,"Alto",66
50,"Alto",64
51,"Alto",60
52,"Alto",61
53,"Alto",66
54,"Alto",66
55,"Alto",66
56,"Alto",62
57,"Alto",70
58,"Alto",65
59,"Alto",64
60,"Alto",63
61,"Alto",65
62,"Alto",69
63,"Alto",61
64,"Alto",66
65,"Alto",65
66,"Alto",61
67,"Alto",63
68,"Alto",64
69,"Alto",67
70,"Alto",66
71,"Alto",68
72,"Tenor",69
73,"Tenor",72
74,"Tenor",71
75,"Tenor",66
76,"Tenor",76
77,"Tenor",74
78,"Tenor",71
79,"Tenor",66
80,"Tenor",68
81,"Tenor",67
82,"Tenor",70
83,"Tenor",65
84,"Tenor",72
85,"Tenor",70
86,"Tenor",68
87,"Tenor",73
88,"Tenor",66
89,"Tenor",68
90,"Tenor",67
91,"Tenor",64
92,"Bass",72
93,"Bass",70
94,"Bass",72
95,"Bass",69
96,"Bass",73
97,"Bass",71
98,"Bass",72
99,"Bass",68
100,"Bass",68
101,"Bass",71
102,"Bass",66
103,"Bass",68
104,"Bass",71
105,"Bass",73
106,"Bass",73
107,"Bass",70
108,"Bass",68
109,"Bass",70
110,"Bass",75
111,"Bass",68
112,"Bass",71
113,"Bass",70
114,"Bass",74
115,"Bass",70
116,"Bass",75
117,"Bass",75
118,"Bass",69
119,"Bass",72
120,"Bass",71
121,"Bass",70
122,"Bass",71
123,"Bass",68
124,"Bass",70
125,"Bass",75
126,"Bass",72
127,"Bass",66
128,"Bass",72
129,"Bass",70
130,"Bass",69
