"Year","Player","Salary","Position","Team","NA.","NA..1"
2006,"McCants, Rashad",1538400,"G","Minnesota Timberwolves",NA,NA
2006,"Kukoc, Toni",2e+06,"F","Milwaukee Bucks",NA,NA
2006,"Magloire, Jamaal",8300000,"C","Milwaukee Bucks",NA,NA
2006,"Piatkowski, Eric",2950000,"G-F","Chicago Bulls",NA,NA
2006,"Paul, Chris",3140000,"G","New Orleans Hornets",NA,NA
2006,"Crawford, Jamal",6480000,"G","New York Knicks",NA,NA
2006,"Dalembert, Samuel",8e+06,"C","Philadelphia 76ers",NA,NA
2006,"Roberson, Anthony",398762,"G","Memphis Grizzlies",NA,NA
2006,"Sweetney, Mike",2120000,"F","Chicago Bulls",NA,NA
2006,"Parker, Tony",8400000,"G","San Antonio Spurs",NA,NA
2006,"Khryapa, Viktor",1100000,"F","Portland Trailblazers",NA,NA
2006,"Stevenson, DeShawn",2750000,"G","Orlando Magic",NA,NA
2006,"Greene, Orien",398762,"G","BostonCeltics",NA,NA
2006,"McDyess, Antonio",5390000,"F","Detroit Pistons",NA,NA
2006,"Hodge, Julius",1150000,"G","Denver Nuggets",NA,NA
2006,"Bynum, Andrew",1890000,"C","Los Angeles Lakers",NA,NA
2006,"Williamson, Corliss",6e+06,"F","Sacramento Kings",NA,NA
2006,"Wright, Bracey",398762,"G","Minnesota Timberwolves",NA,NA
2006,"Richardson, Jason",8890000,"G","Golden State Warriors",NA,NA
2006,"Miller, Andre",8100000,"G","Denver Nuggets",NA,NA
2006,"Bradley, Michael",771123,"F","Philadelphia 76ers",NA,NA
2006,"Schenscher, Luke",398762,"C","Chicago Bulls",NA,NA
2006,"Battie, Tony",5200000,"C-F","Orlando Magic",NA,NA
2006,"Pollard, Scot",6270000,"C-F","Indiana Pacers",NA,NA
2006,"Pavlovic, Aleksandar",1270000,"G-F","Cleveland Cavaliers",NA,NA
2006,"Jones, Fred",2330000,"G","Indiana Pacers",NA,NA
2006,"Garcia, Francisco",1020000,"F-G","Sacramento Kings",NA,NA
2006,"Henderson, Alan",1140000,"F-C","Cleveland Cavaliers",NA,NA
2006,"Williamson, Corliss",6e+06,"F","Sacramento Kings",NA,NA
2006,"Kleiza, Linas",879360,"F","Denver Nuggets",NA,NA
2006,"Van Exel, Nick",1138500,"G","San Antonio Spurs",NA,NA
2006,"Kirilenko, Andrei",10970000,"F","Utah Jazz",NA,NA
2006,"Mbenga, D.J.",880000,"C","Dallas Mavericks",NA,NA
