"Gender","TimeInSec"
"Men",106
"Men",40
"Men",39
"Men",84
"Men",168
"Men",289
"Men",171
"Men",60
"Men",113
"Men",97
"Men",126
"Men",29
"Men",115
"Men",82
"Men",109
"Men",43
"Men",80
"Men",262
"Men",27
"Men",95
"Men",30
"Men",7
"Men",57
"Men",162
"Men",720
"Men",180
"Men",127
"Men",35
"Men",39
"Men",56
"Men",40
"Men",269
"Men",240
"Men",138
"Men",26
"Men",138
"Men",336
"Men",258
"Men",180
"Men",209
"Men",176
"Men",153
"Men",109
"Women",100
"Women",54
"Women",208
"Women",66
"Women",165
"Women",89
"Women",73
"Women",68
"Women",195
"Women",580
"Women",81
"Women",260
"Women",44
"Women",256
"Women",70
"Women",15
"Women",29
"Women",41
"Women",37
"Women",30
"Women",146
"Women",232
"Women",107
"Women",36
"Women",28
"Women",320
"Women",89
"Women",38
"Women",212
"Women",137
"Women",172
"Women",76
"Women",98
"Women",115
"Women",34
"Women",150
"Women",49
"Women",45
"Women",30
"Women",74
"Women",147
"Women",83
"Women",76
"Women",48
"Women",26
"Women",268
"Women",237
"Women",213
"Women",381
"Women",356
"Women",194
"Women",168
"Women",174
"Women",114
"Women",279
"Women",293
"Women",131
"Women",203
