"Soprano","Alto","Tenor","Bass"
64,"65","69","72"
62,"62","72","70"
66,"68","71","72"
65,"67","66","69"
60,"67","76","73"
61,"63","74","71"
65,"67","71","72"
66,"66","66","68"
65,"63","68","68"
63,"72","67","71"
67,"62","70","66"
65,"61","65","68"
62,"66","72","71"
65,"64","70","73"
68,"60","68","73"
65,"61","73","70"
63,"66","66","68"
65,"66","68","70"
62,"66","67","75"
65,"62","64","68"
66,"70","71","#NULL!"
62,"65","70","#NULL!"
65,"64","74","#NULL!"
63,"63","70","#NULL!"
65,"65","75","#NULL!"
66,"69","75","#NULL!"
65,"61","69","#NULL!"
62,"66","72","#NULL!"
65,"65","71","#NULL!"
66,"61","70","#NULL!"
65,"63","71","#NULL!"
61,"64","68","#NULL!"
65,"67","70","#NULL!"
66,"66","75","#NULL!"
65,"68","72","#NULL!"
62,"66","#NULL!","#NULL!"
72,"#NULL!","#NULL!","#NULL!"
70,"#NULL!","#NULL!","#NULL!"
69,"#NULL!","#NULL!","#NULL!"
