"Footwear","Accuracy"
"A",35
"A",32
"A",39
"A",44
"A",35
"A",27
"A",28
"A",31
"A",39
"A",38
"A",37
"A",34
"A",22
"A",29
"A",35
"A",35
"A",26
"A",29
"A",34
"A",33
"B",30
"B",27
"B",27
"B",38
"B",36
"B",31
"B",36
"B",36
"B",25
"B",37
"B",26
"B",40
"B",40
"B",39
"B",41
"B",29
"B",31
"B",31
"B",26
"B",28
"C",25
"C",40
"C",35
"C",30
"C",23
"C",24
"C",31
"C",28
"C",39
"C",32
"C",26
"C",25
"C",31
"C",20
"C",29
"C",27
"C",27
"C",31
"C",36
"C",30
"D",26
"D",19
"D",32
"D",37
"D",29
"D",43
"D",38
"D",30
"D",33
"D",34
"D",41
"D",35
"D",24
"D",28
"D",27
"D",27
"D",37
"D",48
"D",30
"D",22
"E",43
"E",30
"E",38
"E",36
"E",27
"E",30
"E",34
"E",25
"E",38
"E",37
"E",24
"E",29
"E",26
"E",27
"E",35
"E",29
"E",28
"E",33
"E",42
"E",33
"Socks",34
"Socks",37
"Socks",46
"Socks",39
"Socks",27
"Socks",37
"Socks",41
"Socks",37
"Socks",36
"Socks",28
"Socks",43
"Socks",36
"Socks",40
"Socks",26
"Socks",40
"Socks",44
"Socks",27
"Socks",33
"Socks",28
"Socks",26
