"SpeedOfLight","Temp","Day","TimeOfDay","Set"
299.85,76,1,"PM",1
299.74,72,3,"PM",2
299.9,72,3,"PM",2
300.07,72,3,"PM",2
299.93,72,3,"PM",2
299.85,72,3,"PM",2
299.95,83,5,"PM",3
299.98,83,5,"PM",3
299.98,83,5,"PM",3
299.88,83,5,"PM",3
300,83,5,"PM",3
299.98,90,6,"PM",4
299.93,90,6,"PM",4
299.65,71,8,"AM",5
299.76,71,8,"AM",5
299.81,71,8,"AM",5
300,72,9,"AM",6
300,72,9,"AM",6
299.96,72,9,"AM",6
299.96,79,9,"PM",7
299.96,79,9,"PM",7
299.94,79,9,"PM",7
299.96,79,9,"PM",7
299.94,79,9,"PM",7
299.88,79,9,"PM",7
299.8,79,9,"PM",7
299.85,64,10,"AM",8
299.88,64,10,"AM",8
299.9,65,10,"AM",8
299.84,66,10,"AM",8
299.83,67,10,"AM",8
299.79,84,10,"PM",9
299.81,85,10,"PM",9
299.88,84,10,"PM",9
299.88,84,10,"PM",9
299.83,84,10,"PM",9
299.8,62,13,"AM",10
299.79,63,13,"AM",10
299.76,64,13,"AM",10
299.8,77,13,"PM",11
299.88,77,13,"PM",11
299.88,77,13,"PM",11
299.88,77,13,"PM",11
299.86,77,13,"PM",11
299.72,58,14,"AM",12
299.72,58,14,"AM",12
299.62,59,14,"AM",12
299.86,75,14,"PM",13
299.97,75,14,"PM",13
299.95,75,14,"PM",13
299.88,60,16,"AM",14
299.91,61,16,"AM",14
299.85,62,16,"AM",14
299.87,63,16,"AM",14
299.84,78,16,"PM",15
299.84,79,16,"PM",15
299.85,80,16,"PM",15
299.84,79,16,"PM",15
299.84,79,16,"PM",15
299.84,79,16,"PM",15
299.89,61,17,"AM",16
299.81,62,17,"AM",16
299.81,63,17,"AM",16
299.82,64,17,"AM",16
299.8,65,17,"AM",16
299.77,80,17,"PM",17
299.76,81,17,"PM",17
299.74,82,17,"PM",17
299.75,82,17,"PM",17
299.76,81,17,"PM",17
299.91,89,19,"PM",18
299.92,89,19,"PM",18
299.89,90,19,"PM",18
299.86,90,19,"PM",18
299.88,90,19,"PM",18
299.72,72,20,"AM",19
299.84,73,20,"AM",19
299.85,74,20,"AM",19
299.85,75,20,"AM",19
299.78,76,20,"AM",19
299.89,86,22,"PM",20
299.84,86,22,"PM",20
299.78,73,23,"AM",21
299.81,74,23,"AM",21
299.76,75,23,"AM",21
299.81,75,23,"AM",21
299.79,76,23,"AM",21
299.81,76,23,"AM",21
299.82,85,26,"PM",22
299.85,86,26,"PM",22
299.87,86,26,"PM",22
299.87,86,26,"PM",22
299.81,83,27,"PM",23
299.74,84,27,"PM",23
299.81,86,27,"PM",23
299.94,86,27,"PM",23
299.95,86,28,"PM",24
299.8,86,28,"PM",24
299.81,86,28,"PM",24
299.87,85,28,"PM",24
