"GroupDes","Group","Grade"
"Less4",0,80.21
"Less4",0,97.71
"Less4",0,81.83
"Less4",0,63.7
"Less4",0,63.82
"Less4",0,69.97
"Less4",0,66.36
"Less4",0,82.47
"Less4",0,91.94
"Less4",0,95.52
"Less4",0,81.59
"Less4",0,89.2
"Less4",0,90.12
"Less4",0,79.99
"Less4",0,81.29
"Less4",0,79.98
"Less4",0,88.78
"Less4",0,79.82
"Less4",0,93.84
"Less4",0,76.35
"Less4",0,87.45
"Less4",0,81.06
"Less4",0,56.09
"Less4",0,78.96
"Less4",0,96.54
"Less4",0,77.28
"Less4",0,66.54
"Less4",0,73.1
"Less4",0,84.22
"Less4",0,68.73
"Less4",0,73.76
"Less4",0,80.17
"Less4",0,99.29
"Less4",0,80.09
"Less4",0,75.98
"Less4",0,79.51
"Less4",0,81.78
"Less4",0,73.77
"Less4",0,74.67
"Less4",0,91.63
"Less4",0,82.3
"Less4",0,84.46
"Less4",0,87.78
"Less4",0,63.58
"More4",1,81.87
"More4",1,77.92
"More4",1,88.8
"More4",1,92.03
"More4",1,87.67
"More4",1,93.28
"More4",1,96.96
"More4",1,78.22
"More4",1,93.99
"More4",1,97.59
"More4",1,97.59
"More4",1,78.13
"More4",1,86.32
"More4",1,92.74
"More4",1,80.48
"More4",1,76.22
"More4",1,90.45
"More4",1,81.25
"More4",1,85.48
"More4",1,86.53
"More4",1,92.92
"More4",1,96.05
"More4",1,88.5
"More4",1,91.69
"More4",1,93.15
"More4",1,65.99
"More4",1,87.02
"More4",1,96.46
"More4",1,93.52
"More4",1,79.83
"More4",1,87.66
"More4",1,74.82
"More4",1,85.83
"More4",1,89.66
"More4",1,91.74
"More4",1,75.03
"More4",1,81.47
"More4",1,76.13
"More4",1,88.2
