"Class","Gender","Handedness","Wear.Watch","Have.Phone","Eat.Breakfast","Have.Facebook","To.Retain.Penny","Class.Rank","Credits.Completed","Current.Credits","Height.Ft","Height.In.","Home.State","Wage","BroJ.s.age","Dist.to.Moon","Candies.in.Jar","Random...1.20","Heartbeat.30secs","Height"
"222 - 3:15","M","R","N","Y","Y","Y","Y","SO",60,14,6,3,"CO",5,36,3e+06,178,17,44,75
"222 - 3:15","M","R","N","Y","Y","Y","Y","JR",87,14,5,11,"ID",8.75,38,NA,80,16,39,71
"222 - 3:15","F","R","N","Y","Y","Y","Y","JR",60,21,5,5,NA,7.25,43,1600000,638,8,42,65
"222 - 3:15","F","R","Y","Y","Y","Y","N","SO",44,15,5,8,"ID",8.5,39,2e+06,583,12,45,68
"222 - 3:15","F","R","N","Y","Y","Y","Y","SO",59,14,5,4,NA,7.3,31,NA,140,17,58,64
"222 - 3:15","F","R","N","Y","Y","Y","Y","JR",60,13,5,7,"CO",10,42,43000,127,3,42,67
"222 - 3:15","F","R","N","Y","Y","Y","Y","SO",37,15,5,7,"UT",7.5,47,30000,372,8,46,67
"222 - 3:15","F","R","Y","Y","Y","Y","Y","FR",14,14,5,3,"CO",NA,34,NA,200,2,52,63
"222 - 3:15","F","R","N","Y","Y","Y","Y","FR",33,12,5,4,"CA",8,40,1e+09,200,15,27,64
"222 - 3:15","M","R","N","Y","Y","Y","Y","JR",70,19,5,8,"TX",8,44,NA,250,13,45,67.5
"222 - 3:15","M","R","N","Y","Y","Y","Y","SO",47,14,5,7,"ID",7.25,41,4e+06,157,9,28,67
"222 - 3:15","F","R","N","Y","Y","Y","Y","JR",80,15,5,5,"CA",15,48,3800000,225,17,40,65
"222 - 3:15","M","R","N","Y","Y","Y","N","SO",50,15,6,0,"PA",8,38,1e+08,145,4,32,72
"222 - 3:15","F","L","N","Y","Y","Y","Y","FR",32,15,5,7,"FL",NA,35,57,500,3,38,67
"222 - 3:15","M","L","N","Y","Y","Y","Y","JR",75,14,5,6,"CA",12,43,NA,350,7,41,66
"222 - 3:15","M","R","N","Y","Y","Y","N","SR",116,16,5,10,"WA",10.25,37,2e+05,440,19,31,70
"222 - 3:15","M","R","N","Y","N","Y","N","FR",25,12,6,4,"ID",8,35,10000,520,12,35,76
"222 - 3:15","F","R","N","Y","Y","Y","N","JR",74,14,5,9,"CA",9,50,1e+09,250,7,60,69
"222 - 3:15","M","L","N","Y","Y","Y","Y","JR",80,15,6,0,NA,8.25,35,1e+07,350,18,29,72
"222 - 3:15","F","R","N","Y","Y","Y","Y","SO",45,14,5,7,"CA",8,39,25000,417,14,42,67
"222 - 3:15","M","R","N","Y","Y","Y","N","SO",50,17,6,4,"CA",8,42,6e+19,217,15,26,76
"222 - 3:15","M","R","N","Y","Y","Y","N","SO",40,19,6,1,"CO",10,37,20000,275,13,32,72.5
"222 - 3:15","M","R","N","Y","N","Y","Y","JR",65,16,6,2,"ID",20,46,118000,243,18,25,74
"222 - 3:15","M","L","Y","Y","Y","Y","N","SO",46,16,6,3,"ME",10.5,45,120000,200,2,46,75
"222 - 3:15","M","R","N","Y","Y","Y","Y","SO",31,15,5,9,"WA",8,40,105000,104,11,43,69
"222 - 3:15","F","R","Y","Y","N","N","Y","SO",50,14,5,11,"WA",9,38,230000,445,3,36,71
"222 - 3:15","M","R","N","Y","Y","Y","Y","SO",39,17,5,11,"AK",12,40,10000,608,8,44,71
"222 - 3:15","F","R","Y","Y","Y","Y","Y","JR",89,14,5,3,"CO",7.9,45,1385,250,3,42,63
"222 - 3:15","F","R","N","Y","Y","Y","Y","SO",50,1,5,3,"CA",10,39,2.8e+07,350,13,34,63
"222 - 3:15","M","R","N","Y","Y","Y","Y","JR",70,15,6,9,"TX",10,40,1000,500,12,37,81
"222 - 3:15","M","R","N","Y","N","Y","Y","SO",28,12,5,10,"NV",7.5,38,5e+05,220,11,37,70
"222 - 3:15","F","R","N","Y","Y","Y","Y","FR",30,13,5,2,"ID",8,43,1.5e+09,650,15,43,62
"222 - 3:15","M","R","N","Y","Y","Y","Y","SO",35,13,6,2,"CA",10.5,46,1e+06,200,1,33,74
"222 - 3:15","M","R","N","Y","Y","Y","Y","SO",49,14,6,0,"TX",10,44,1e+09,450,10,31,72
"222 - 3:15","F","R","N","Y","Y","Y","Y","SR",96,16,5,0,"CA",7.25,34,30000,217,17,45,60
"222 - 3:15","F","R","N","Y","Y","Y","Y","SO",30,12,5,9,"WA",8,45,10,180,16,29,69
"222 - 3:15","F","R","N","Y","Y","Y","N","SR",90,17,5,2,"ID",18.75,30,3e+09,300,7,35,62
"222 - 3:15","M","L","N","Y","Y","Y","Y","JR",101,16,5,10,"ID",9,41,7,473,17,28,70
"222 - 11.30","M","R","Y","Y","Y","Y","Y","FR",16,16,6,0,"KS",8.25,43,98000,318,18,38,72
"222 - 11.30","M","R","N","Y","Y","Y","N","SO",50,16,5,10,"CA",7.5,45,120000,160,17,46,70
