"Year","Vehicle","IsCertified","Price","Mileage","Seller","TypeOfSeller","Body","Color"
2005,"Toyota Prius","Yes",28995,32823,"Quality Imports Inc       850-863-2161","Dealer","Hatch","Gray "
2005,"Toyota Prius","Yes",25995,29872,"Dayton Toyota       888-363-5143","Dealer","Hatch","Silver "
2005,"Toyota Prius","Yes",26981,34119,"Germain Toyota       866-813-4760","Dealer","Hatch","Silver "
2005,"Toyota Prius","Yes",22999,10221,"Downtown Toyota       888-829-8170","Dealer","Hatch","White "
2005,"Toyota Prius","No",26900,11013,"Victory Pontiac GMC Trucks       888-335-9082","Dealer","Hatch","Blue "
2005,"Toyota Prius","Yes",25995,3432,"Ramey Motors       877-268-6157","Dealer","Hatch","White "
2005,"Toyota Prius","No",24995,8473,"Stevinson Toyota West       888-280-7517","Dealer","Hatch","Blue "
2005,"Toyota Prius","No",24900,40000,"Classified Ad      ","Private","Hatch","  "
2005,"Toyota Prius","No",21500,44942,"Manchester VW       888-680-3362","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",22840,24039,"Fiore Toyota Volkswagen Audi       866-753-3324","Dealer","Hatch","Tan "
2005,"Toyota Prius","No",25999,4131,"Honda of Fife       866-661-3136","Dealer","Hatch","Red "
2005,"Toyota Prius","No",26999,2736,"Stirling Auto Group       888-232-4661","Dealer","Hatch","Pewter "
2005,"Toyota Prius","No",25995,25543,"Harvey of Bossier City, Inc.       888-454-2783","Dealer","Hatch","Beige "
2005,"Toyota Prius","No",26300,9968,"Southern States Imports, Inc.       866-404-7012","Dealer","Hatch","White "
2005,"Toyota Prius","No",24999,14905,"Stevens Toyota       888-835-6791","Dealer","Hatch","Silver "
2005,"Toyota Prius","Yes",25999,9949,"Madera Auto Center       888-901-3972","Dealer","Hatch","Super White "
2005,"Toyota Prius","No",29988,15600,"Lexus of West Kendall       866-322-9792","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",24950,6868,"Rinke Toyota-Scion       866-570-0113","Dealer","Hatch","Beige "
2005,"Toyota Prius","No",25777,16931,"Byers Mazda Subaru       866-271-2346","Dealer","Hatch","Black "
2005,"Toyota Prius","No",24877,16593,"Fogg's Automotive       866-363-3265","Dealer","Hatch","Gray "
