"Year","Make","Model","Price","Mileage","Seller","Type.Of.Seller","Body","Color","City"
2006,"Hummer","H3",38000,3300,"Individual Seller       310-534-2738","Individual","SUV","Black ","Los Angeles"
2003,"Hummer","H2",39995,45207,"Certified Auto Sales       866-819-1311","Dealer","SUV","Red ","Los Angeles"
2003,"Hummer","H2",39700,20317,"Classified Ad       ","Individual","SUV","  ","Los Angeles"
2003,"Hummer","H1",65900,28200,"Individual Seller       310-801-7209","Individual","SUV","Titanium ","Los Angeles"
2004,"Hummer","H2",18900,19544,"Dealer       918-632-6853","Dealer","SUV","Silver ","Los Angeles"
2003,"Hummer","H2",38990,54608,"Nash Auto       866-793-7491","Dealer","SUV","Yellow ","Los Angeles"
2005,"Hummer","H2",52995,26979,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Black ","Los Angeles"
2004,"Hummer","H2",46995,22000,"Classified Ad       ","Individual","SUV","Pewter ","Los Angeles"
2003,"Hummer","H2",39995,42236,"Heritage Lincoln Mercury       877-844-5779","Dealer","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",35995,77927,"Mountain Motors       888-613-9975","Dealer","SUV","Burgindy ","Los Angeles"
2005,"Hummer","H2",48900,6800,"Classified Ad       714-342-2570","Individual","SUV","Gray ","Los Angeles"
2005,"Hummer","H2",49900,6500,"Classified Ad       714-342-2570","Individual","SUV","Gray ","Los Angeles"
2004,"Hummer","H2",42995,41157,"O.C. AUTOHAUS INC.       888-677-2471","Dealer","SUV","Black ","Los Angeles"
2004,"Hummer","H2",45995,25000,"Galpin Ford       888-250-8010","Dealer","SUV","Red ","Los Angeles"
2003,"Hummer","H2",39995,55393,"House of Luxuries       877-877-5130","Dealer","SUV","Pewter ","Los Angeles"
1999,"Hummer","H1",46995,46000,"Classified Ad       ","Individual","SUV","Yellow ","Los Angeles"
2004,"Hummer","H2",51995,31276,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Pewter ","Los Angeles"
2005,"Hummer","H2",44995,20050,"Tustin Chevrolet       888-300-7329","Dealer","SUV","Beige ","Los Angeles"
2006,"Hummer","H1",123900,12777,"DC Motors       888-639-9122","Dealer","SUV","Diamond Black ","Los Angeles"
2003,"Hummer","H2",38888,37348,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Pewter ","Los Angeles"
2006,"Hummer","H3",32888,11572,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Black ","Los Angeles"
2003,"Hummer","H2",35900,45000,"Sports Trend       888-408-8450","Dealer","SUV","Red Metallic ","Los Angeles"
2003,"Hummer","H2",37980,51426,"Phillips Auto       866-885-8739","Dealer","SUV","Black ","Los Angeles"
2004,"Hummer","H2",41995,37409,"Land Rover - Jaguar Anaheim Hills       888-891-9430","Dealer","SUV","Red ","Los Angeles"
2003,"Hummer","H2",38995,46130,"Firestone Auto Mall       888-734-6432","Dealer","SUV","White ","Los Angeles"
2004,"Hummer","H2",51995,16450,"Specialty Motors       888-302-1925","Dealer","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",45995,31667,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Orange ","Los Angeles"
2004,"Hummer","H2",49888,18751,"Southcoast Mitsubishi       866-373-5735","Dealer","SUV","Green ","Los Angeles"
2003,"Hummer","H2",36995,42431,"Thorson Buick/Pontiac/GMC       888-743-3417","Dealer","SUV","Maroon ","Los Angeles"
2004,"Hummer","H2",37999,21000,"Classified Ad       ","Individual","SUV","Yellow ","Los Angeles"
2004,"Hummer","H2",42995,16802,"Penske Cadillac Hummer       800-832-3086","Dealer","SUV","Maroon ","Los Angeles"
2006,"Hummer","H3",33695,269,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Blue ","Los Angeles"
2006,"Hummer","H3",31888,4802,"Norco Mazda       888-232-4513","Dealer","SUV","Pewter ","Los Angeles"
2003,"Hummer","H2",36995,27204,"Online Motors       888-422-9746","Dealer","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",38888,37000,"Classified Ad       ","Individual","SUV","  ","Los Angeles"
2003,"Hummer","H2",38999,61365,"Ritz Leasing / Ritz Kar Warehouse       866-895-1076","Dealer","SUV","Black ","Los Angeles"
2005,"Hummer","H2",42500,17000,"Classified Ad       ","Individual","SUV","  ","Los Angeles"
2006,"Hummer","H2",54995,727,"Cerritos Nissan       866-815-2639","Dealer","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",39000,16000,"Classified Ad       213-820-3650","Individual","SUV","Tan ","Los Angeles"
2003,"Hummer","H2",42000,40000,"Dealer       951-377-7800","Dealer","SUV","Burgundy ","Los Angeles"
2003,"Hummer","H2",39800,39243,"Southcoast Mitsubishi       866-373-5735","Dealer","SUV","Orange ","Los Angeles"
2003,"Hummer","H2",39954,54734,"Riverside Car Store       888-773-0351","Dealer","SUV","Beige ","Los Angeles"
2006,"Hummer","H3",35995,14240,"Keyes European Mercedes       866-522-4078","Dealer","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",37995,56759,"Don A Vee Chrysler Jeep - Placentia       888-614-2287","Dealer","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",38996,43861,"Norco Mazda       888-232-4513","Dealer","SUV","Orange ","Los Angeles"
2005,"Hummer","H2",45999,21605,"C & S Auto Gallery       877-409-0679","Dealer","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",65000,20000,"Classified Ad       ","Individual","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",39995,44402,"Online Motors       888-422-9746","Dealer","SUV","Brown ","Los Angeles"
2003,"Hummer","H2",34998,35821,"CarMax Irvine       888-452-7938","Dealer","SUV","Gray ","Los Angeles"
2003,"Hummer","H2",41800,59000,"Classified Ad       ","Individual","SUV","Yellow ","Los Angeles"
