"Date","HeartAttacks","TimePeriod"
"May 1, 2003",12,"Control"
"May 2, 2003",12,"Control"
"May 3, 2003",6,"Control"
"May 4, 2003",16,"Control"
"May 5, 2003",13,"Control"
"May 6, 2003",17,"Control"
"May 7, 2003",14,"Control"
"May 8, 2003",16,"Control"
"May 9, 2003",12,"Control"
"May 10, 2003",12,"Control"
"May 11, 2003",16,"Control"
"May 12, 2003",13,"Control"
"May 13, 2003",13,"Control"
"May 14, 2003",14,"Control"
"May 15, 2003",18,"Control"
"May 16, 2003",11,"Control"
"May 17, 2003",11,"Control"
"May 18, 2003",14,"Control"
"May 19, 2003",6,"Control"
"May 20, 2003",13,"Control"
"May 21, 2003",23,"Control"
"May 22, 2003",15,"Control"
"May 23, 2003",17,"Control"
"May 24, 2003",17,"Control"
"May 25, 2003",18,"Control"
"May 26, 2003",13,"Control"
"May 27, 2003",20,"Control"
"May 28, 2003",10,"Control"
"May 29, 2003",8,"Control"
"May 30, 2003",21,"Control"
"May 31, 2003",10,"Control"
"June 1, 2003",6,"Control"
"June 2, 2003",11,"Control"
"June 3, 2003",8,"Control"
"June 4, 2003",12,"Control"
"June 5, 2003",11,"Control"
"June 6, 2003",18,"Control"
"June 7, 2003",15,"Control"
"June 8, 2003",17,"Control"
"June 9, 2003",17,"Control"
"June 10, 2003",10,"Control"
"June 11, 2003",16,"Control"
"June 12, 2003",13,"Control"
"June 13, 2003",17,"Control"
"June 14, 2003",11,"Control"
"June 15, 2003",5,"Control"
"June 16, 2003",18,"Control"
"June 17, 2003",15,"Control"
"June 18, 2003",23,"Control"
"June 19, 2003",16,"Control"
"June 20, 2003",9,"Control"
"June 21, 2003",13,"Control"
"June 22, 2003",18,"Control"
"June 23, 2003",12,"Control"
"June 24, 2003",16,"Control"
"June 25, 2003",10,"Control"
"June 26, 2003",11,"Control"
"June 27, 2003",15,"Control"
"June 28, 2003",8,"Control"
"June 29, 2003",21,"Control"
"June 30, 2003",10,"Control"
"July 1, 2003",13,"Control"
"July 2, 2003",18,"Control"
"July 3, 2003",9,"Control"
"July 4, 2003",17,"Control"
"July 5, 2003",10,"Control"
"July 6, 2003",17,"Control"
"July 7, 2003",11,"Control"
"July 8, 2003",16,"Control"
"July 9, 2003",9,"Control"
"July 10, 2003",16,"Control"
"July 11, 2003",23,"Control"
"July 12, 2003",13,"Control"
"July 13, 2003",13,"Control"
"July 14, 2003",9,"Control"
"July 15, 2003",10,"Control"
"July 16, 2003",6,"Control"
"July 17, 2003",14,"Control"
"July 18, 2003",19,"Control"
"July 19, 2003",13,"Control"
"July 20, 2003",16,"Control"
"July 21, 2003",18,"Control"
"July 22, 2003",17,"Control"
"July 23, 2003",18,"Control"
"July 24, 2003",16,"Control"
"July 25, 2003",14,"Control"
"July 26, 2003",17,"Control"
"July 27, 2003",19,"Control"
"July 28, 2003",27,"Control"
"July 29, 2003",11,"Control"
"July 30, 2003",18,"Control"
"May 1, 2005",23,"Control"
"May 2, 2005",12,"Control"
"May 3, 2005",19,"Control"
"May 4, 2005",11,"Control"
"May 5, 2005",11,"Control"
"May 6, 2005",15,"Control"
"May 7, 2005",10,"Control"
"May 8, 2005",19,"Control"
"May 9, 2005",17,"Control"
"May 10, 2005",16,"Control"
"May 11, 2005",15,"Control"
"May 12, 2005",10,"Control"
"May 13, 2005",9,"Control"
"May 14, 2005",7,"Control"
"May 15, 2005",12,"Control"
"May 16, 2005",12,"Control"
"May 17, 2005",20,"Control"
"May 18, 2005",16,"Control"
"May 19, 2005",20,"Control"
"May 20, 2005",9,"Control"
"May 21, 2005",8,"Control"
"May 22, 2005",22,"Control"
"May 23, 2005",14,"Control"
"May 24, 2005",17,"Control"
"May 25, 2005",19,"Control"
"May 26, 2005",15,"Control"
"May 27, 2005",10,"Control"
"May 28, 2005",14,"Control"
"May 29, 2005",17,"Control"
"May 30, 2005",20,"Control"
"May 31, 2005",14,"Control"
"June 1, 2005",14,"Control"
"June 2, 2005",15,"Control"
"June 3, 2005",11,"Control"
"June 4, 2005",8,"Control"
"June 5, 2005",13,"Control"
"June 6, 2005",13,"Control"
"June 7, 2005",27,"Control"
"June 8, 2005",17,"Control"
"June 9, 2005",15,"Control"
"June 10, 2005",10,"Control"
"June 11, 2005",14,"Control"
"June 12, 2005",14,"Control"
"June 13, 2005",10,"Control"
"June 14, 2005",14,"Control"
"June 15, 2005",9,"Control"
"June 16, 2005",17,"Control"
"June 17, 2005",9,"Control"
"June 18, 2005",8,"Control"
"June 19, 2005",15,"Control"
"June 20, 2005",11,"Control"
"June 21, 2005",21,"Control"
"June 22, 2005",14,"Control"
"June 23, 2005",14,"Control"
"June 24, 2005",13,"Control"
"June 25, 2005",4,"Control"
"June 26, 2005",10,"Control"
"June 27, 2005",15,"Control"
"June 28, 2005",22,"Control"
"June 29, 2005",12,"Control"
"June 30, 2005",17,"Control"
"July 1, 2005",15,"Control"
"July 2, 2005",16,"Control"
"July 3, 2005",12,"Control"
"July 4, 2005",11,"Control"
"July 5, 2005",17,"Control"
"July 6, 2005",15,"Control"
"July 7, 2005",13,"Control"
"July 8, 2005",14,"Control"
"July 9, 2005",14,"Control"
"July 10, 2005",10,"Control"
"July 11, 2005",15,"Control"
"July 12, 2005",18,"Control"
"July 13, 2005",13,"Control"
"July 14, 2005",16,"Control"
"July 15, 2005",16,"Control"
"July 16, 2005",9,"Control"
"July 17, 2005",19,"Control"
"July 18, 2005",12,"Control"
"July 19, 2005",11,"Control"
"July 20, 2005",15,"Control"
"July 21, 2005",16,"Control"
"July 22, 2005",11,"Control"
"July 23, 2005",13,"Control"
"July 24, 2005",15,"Control"
"July 25, 2005",9,"Control"
"July 26, 2005",15,"Control"
"July 27, 2005",16,"Control"
"July 28, 2005",22,"Control"
"July 29, 2005",7,"Control"
"July 30, 2005",12,"Control"
"May 1, 2006",16,"World Cup"
"May 2, 2006",19,"World Cup"
"May 3, 2006",13,"World Cup"
"May 4, 2006",20,"World Cup"
"May 5, 2006",26,"World Cup"
"May 6, 2006",5,"World Cup"
"May 7, 2006",23,"World Cup"
"May 8, 2006",17,"World Cup"
"May 9, 2006",11,"World Cup"
"May 10, 2006",12,"World Cup"
"May 11, 2006",25,"World Cup"
"May 12, 2006",22,"World Cup"
"May 13, 2006",19,"World Cup"
"May 14, 2006",16,"World Cup"
"May 15, 2006",13,"World Cup"
"May 16, 2006",15,"World Cup"
"May 17, 2006",16,"World Cup"
"May 18, 2006",13,"World Cup"
"May 19, 2006",16,"World Cup"
"May 20, 2006",14,"World Cup"
"May 21, 2006",15,"World Cup"
"May 22, 2006",23,"World Cup"
"May 23, 2006",16,"World Cup"
"May 24, 2006",17,"World Cup"
"May 25, 2006",15,"World Cup"
"May 26, 2006",10,"World Cup"
"May 27, 2006",13,"World Cup"
"May 28, 2006",11,"World Cup"
"May 29, 2006",19,"World Cup"
"May 30, 2006",17,"World Cup"
"May 31, 2006",10,"World Cup"
"June 1, 2006",14,"World Cup"
"June 2, 2006",12,"World Cup"
"June 3, 2006",10,"World Cup"
"June 4, 2006",10,"World Cup"
"June 5, 2006",22,"World Cup"
"June 6, 2006",33,"World Cup"
"June 7, 2006",26,"World Cup"
"June 8, 2006",20,"World Cup"
"June 9, 2006",43,"World Cup"
"June 10, 2006",13,"World Cup"
"June 11, 2006",21,"World Cup"
"June 12, 2006",22,"World Cup"
"June 13, 2006",20,"World Cup"
"June 14, 2006",49,"World Cup"
"June 15, 2006",11,"World Cup"
"June 16, 2006",26,"World Cup"
"June 17, 2006",18,"World Cup"
"June 18, 2006",15,"World Cup"
"June 19, 2006",23,"World Cup"
"June 20, 2006",31,"World Cup"
"June 21, 2006",21,"World Cup"
"June 22, 2006",11,"World Cup"
"June 23, 2006",15,"World Cup"
"June 24, 2006",39,"World Cup"
"June 25, 2006",18,"World Cup"
"June 26, 2006",18,"World Cup"
"June 27, 2006",15,"World Cup"
"June 28, 2006",19,"World Cup"
"June 29, 2006",15,"World Cup"
"June 30, 2006",63,"World Cup"
"July 1, 2006",23,"World Cup"
"July 2, 2006",19,"World Cup"
"July 3, 2006",15,"World Cup"
"July 4, 2006",62,"World Cup"
"July 5, 2006",22,"World Cup"
"July 6, 2006",14,"World Cup"
"July 7, 2006",12,"World Cup"
"July 8, 2006",15,"World Cup"
"July 9, 2006",32,"World Cup"
"July 10, 2006",9,"World Cup"
"July 11, 2006",23,"World Cup"
"July 12, 2006",11,"World Cup"
"July 13, 2006",13,"World Cup"
"July 14, 2006",21,"World Cup"
"July 15, 2006",15,"World Cup"
"July 16, 2006",20,"World Cup"
"July 17, 2006",20,"World Cup"
"July 18, 2006",26,"World Cup"
"July 19, 2006",14,"World Cup"
"July 20, 2006",21,"World Cup"
"July 21, 2006",28,"World Cup"
"July 22, 2006",13,"World Cup"
"July 23, 2006",12,"World Cup"
"July 24, 2006",12,"World Cup"
"July 25, 2006",18,"World Cup"
"July 26, 2006",19,"World Cup"
"July 27, 2006",20,"World Cup"
"July 28, 2006",8,"World Cup"
"July 29, 2006",7,"World Cup"
"July 30, 2006",15,"World Cup"
